road1,road2,intersection latitude,intersection longitude
BROADWAY,VESEY ST,40.71139226512529,-74.00859925106631
BROADWAY,CEDAR ST,40.708798274566135,-74.01084603260638
BROADWAY,THAMES ST,40.70859514633591,-74.01101191774053
BROADWAY,EXCHANGE ALY,40.70676698087217,-74.01250844527229
BROADWAY,PARK PL,40.71253140736988,-74.0076651513441
BROADWAY,DEY ST,40.71041231642463,-74.0094720223692
BROADWAY,PINE ST,40.708304178407005,-74.01124992516071
W BROADWAY,DUANE ST,40.71658811450221,-74.0083798731041
W BROADWAY,THOMAS ST,40.717123372700705,-74.00795787710837
W BROADWAY,BARCLAY ST,40.71332986284481,-74.01099827126724
W BROADWAY,CHAMBERS ST,40.715520336954064,-74.00923827430911
W BROADWAY,VESEY ST,40.71278084336635,-74.01167993081161
W BROADWAY,PARK PL,40.71384591886792,-74.01056188507378
HOLLAND TUNNEL EXIT,WATTS ST,40.72400444029967,-74.00855758544678
HOLLAND TUNNEL EXIT,HUDSON ST,40.72060918074583,-74.00847056787526
HOLLAND TUNNEL EXIT,CANAL ST,40.725044581088,-74.01006939029354
HOLLAND TUNNEL EXIT,VARICK ST,40.72180602784353,-74.00642519263073
HOLLAND TUNNEL EXIT,HOLLAND TUNL,40.72606275465959,-74.01147300264368
HOLLAND TUNNEL EXIT,ERICSSON PL,40.72047478600156,-74.00700588144562
HOLLAND TUNNEL EXIT,BEACH ST,40.72047478600156,-74.00700588144562
HOLLAND TUNNEL EXIT,LAIGHT ST,40.72180602784353,-74.00642519263073
CORTLANDT ST,DEY ST,40.71036549716655,-74.01123223799067
EXCHANGE PL,HANOVER ST,40.7055431385514,-74.0090673742924
EXCHANGE PL,EXCHANGE ALY,40.70676698087217,-74.01250844527229
EXCHANGE PL,NEW ST,40.70655021175183,-74.01187360666674
WATTS ST,HUDSON ST,40.72389747010717,-74.00747524813592
WATTS ST,CANAL ST,40.723977011476556,-74.0083014317061
WATTS ST,VARICK ST,40.72374658870453,-74.00611511433358
WATTS ST,AVE OF THE AMERICAS,40.72362588222164,-74.0047874584192
WATTS ST,BROOME ST,40.72330755128076,-74.00297997118642
WATTS ST,SULLIVAN ST,40.72362588222164,-74.0047874584192
WATTS ST,THOMPSON ST,40.72345025362539,-74.00382779200886
COLLISTER ST,BEACH ST,40.72068596937548,-74.0093075342014
COLLISTER ST,LAIGHT ST,40.722058368527506,-74.00905879831394
COLLISTER ST,HUBERT ST,40.72139961678016,-74.00918136751518
HUDSON ST,HOLLAND TUNNEL ENTRANCE,40.7257638989537,-74.00756926149802
HUDSON ST,CHARLES ST,40.73444015351627,-74.00618104540355
HUDSON ST,CANAL ST,40.723699818383665,-74.00791176184632
HUDSON ST,JANE ST,40.73814011061774,-74.0055932004617
HUDSON ST,BARROW ST,40.73167067182757,-74.00662459293979
HUDSON ST,W 10 ST,40.73374297998506,-74.0062928373602
HUDSON ST,N MOORE ST,40.719953175062514,-74.00858231798425
HUDSON ST,CHRISTOPHER ST,40.73305404033992,-74.00640823601
HUDSON ST,PERRY ST,40.73513458211808,-74.00606925085754
HUDSON ST,VESTRY ST,40.72262660371688,-74.00811727199724
HUDSON ST,W 12 ST,40.73755272900991,-74.00568697175444
HUDSON ST,GROVE ST,40.73242548633636,-74.0065019889436
HUDSON ST,CLARKSON ST,40.72949406031994,-74.00697435723862
HUDSON ST,FRANKLIN ST,40.71929716894045,-74.00869767338958
HUDSON ST,BROOME ST,40.72456442587129,-74.00778198436257
HUDSON ST,LEROY ST,40.730226917170285,-74.00685536703911
HUDSON ST,BLEECKER ST,40.736877527245085,-74.00553535930713
HUDSON ST,8 AVE,40.736877527245085,-74.00553535930713
HUDSON ST,CHARLTON ST,40.72732842635468,-74.00732049196499
HUDSON ST,SPRING ST,40.7258407528594,-74.00755844667586
HUDSON ST,W HOUSTON ST,40.7287721825185,-74.00708973798045
HUDSON ST,GANSEVOORT ST,40.73941094044963,-74.00539122636924
HUDSON ST,DESBROSSES ST,40.7232798654574,-74.00798386622733
HUDSON ST,BETHUNE ST,40.73692691709387,-74.00585290707436
HUDSON ST,MORTON ST,40.73094605004871,-74.00673637283498
HUDSON ST,JAY ST,40.717924770339714,-74.00894279898634
HUDSON ST,ERICSSON PL,40.72060918074583,-74.00847056787526
HUDSON ST,BEACH ST,40.72060918074583,-74.00847056787526
HUDSON ST,ST LUKES PL,40.730226917170285,-74.00685536703911
HUDSON ST,VANDAM ST,40.72660105871218,-74.00743225670372
HUDSON ST,KING ST,40.72805030475576,-74.0072015082525
HUDSON ST,BANK ST,40.73653441872099,-74.00582761359068
HUDSON ST,LAIGHT ST,40.721967853538544,-74.00823263626842
HUDSON ST,W 13 ST,40.740023024759594,-74.00529023458128
HUDSON ST,WORTH ST,40.71826512530273,-74.0088815181678
HUDSON ST,W 14 ST,40.740849202436955,-74.0051243016757
HUDSON ST,LEONARD ST,40.71902817869154,-74.0087481430296
HUDSON ST,HARRISON ST,40.71864116209256,-74.00882024144545
HUDSON ST,DOMINICK ST,40.72519298279715,-74.00767021548383
HUDSON ST,HUBERT ST,40.72132282724068,-74.0083443923722
HUDSON ST,READE ST,40.71618731638639,-74.00920590080513
HUDSON ST,HORATIO ST,40.738754939793765,-74.00549582123139
HOLLAND TUNNEL ENTRANCE,RENWICK ST,40.725840697496274,-74.00835938946935
HOLLAND TUNNEL ENTRANCE,BROOME ST,40.72449585542903,-74.0070279508284
HOLLAND TUNNEL ENTRANCE,HOLLAND TUNL,40.72617529542671,-74.01141529612147
HOLLAND TUNNEL ENTRANCE,DOMINICK ST,40.725127153559185,-74.00696307679095
CHARLES ST,7 AVE S,40.73506885111742,-74.00197015915391
CHARLES ST,BLEECKER ST,40.7346598017884,-74.0047485595809
CHARLES ST,GREENWICH AVE,40.73530766096386,-74.00035722794006
CHARLES ST,W 4 ST,40.73489590531697,-74.00315368980122
CHARLES ST,WAVERLY PL,40.7351264970465,-74.00157324200406
CANAL ST,RENWICK ST,40.72422126968054,-74.00864419959635
CANAL ST,VARICK ST,40.722549864321365,-74.00629899581318
CANAL ST,WALKER ST,40.717098936253024,-73.99858951550117
CANAL ST,AVE OF THE AMERICAS,40.72225345090496,-74.00591294857915
CANAL ST,MERCER ST,40.71990405989401,-74.00260102845633
CANAL ST,CORTLANDT ALY,40.71896262978331,-74.00127343977208
CANAL ST,BAXTER ST,40.71754908348815,-73.99931098629467
CANAL ST,CENTRE ST,40.718018439490294,-73.99995671087598
CANAL ST,BOWERY,40.71664598313871,-73.99580825613853
CANAL ST,ELIZABETH ST,40.716541719056444,-73.99698425784366
CANAL ST,MULBERRY ST,40.717098936253024,-73.99858951550117
CANAL ST,LAIGHT ST,40.72174295900934,-74.00522745385103
CANAL ST,MOTT ST,40.71681346810391,-73.99776343569359
